library order	Biosample name	Vocabulary representative	DCC Experiment ID	DCC Library ID	DCC Biosample ID	Altius Aggregation ID	Altius Library ID	Altius Biosample ID	Replicate indicators	System	Subsystem	Organ	Biosample type	Biological state	Germ layer	Description 	Growth stage	Age	Sex	Ethnicity	Donor ID	Biosample protocol	Experiment protocol	Library kit method	Library cleanup	DNaseI units/mL	Amount Nucleic Acid (ng)	Nuclei count	Protease inhibitor	Library sequencing date	Reads used	DCC SPOT score	Per-biosample peaks	DHSs in Index
29	hTH17		ENCSR000EQF	ENCLB597ZZZ	ENCBS364AAA	AG4198	LN2044	DS11039		Hematopoietic	T-cell	Blood	Primary	Primary	Mesoderm	Th17 cells	Adult	25Y?	F?	Cauc	Wilson02	Biosample protocol	Experiment protocol	PE	microcon	80	8.5			2009-04-14	208484267	0.3505	73941	73856
30	CD34		ENCSR453EVC	ENCLB346ADI	ENCBS602GFU	AG9162	LN2098	DS11202		Hematopoietic	Progenitor	Blood	Primary	Stem Cells	Mesoderm	CD34 +	Adult	36Y	M	Hisp	RO 01508	Biosample protocol	Experiment protocol	PE-I	micrcon	80	1			2009-06-03	24261720	0.4733	57163	57087
31	NHEK		ENCSR000EPQ	ENCLB567ZZZ	ENCBS591ENC	AG4197	LN2188	DS11474	DS11476	Integumentary		Skin	Primary	Primary	Endoderm	Normal Epidermal Keratinocytes	Adult	45Y	F	Cauc		Biosample protocol	Experiment protocol	PE-I	microcon	120	2.4			2009-07-08	23840039	0.3707	51606	51498
32	NHEK		ENCSR000EPQ	ENCLB568ZZZ	ENCBS818IBE	AG4196	LN2190	DS11476	DS11474	Integumentary		Skin	Primary	Primary	Endoderm	Normal Epidermal Keratinocytes	Adult	45Y	F	Cauc		Biosample protocol	Experiment protocol	PE	micrcon	120	2.4			40007	32221880	0.304	56943	56795
33	HConF		ENCSR000ENK	ENCLB470ZZZ	ENCBS369GTG	AG4195	LN2272	DS11637	DS11642	Connective		Eye	Primary	Primary	Mesoderm	Conjunctival Fibroblasts	Fetal	2nd Trimester	U			Biosample protocol	Experiment protocol	PE	minElute	120	17.8			2009-07-24	39226634	0.4951	92678	92599
34	HConF		ENCSR000ENK	ENCLB471ZZZ	ENCBS308AAA	AG4194	LN2275	DS11642	DS11637	Connective		Eye	Primary	Primary	Mesoderm	Conjunctival Fibroblasts	Fetal	2nd Trimester	U			Biosample protocol	Experiment protocol	PE	minElute	120	39.6			2009-07-24	32140946	0.515	81786	81706
35	CD34		ENCSR564TUY	ENCLB884BTD	ENCBS078RTI	AG9161	LN2281	DS11666		Hematopoietic	Progenitor	Blood	Primary	Stem Cells	Mesoderm	CD 34+ Hematopoietic progenitor cells	Adult	30Y	M	Cauc	RO 01527	Biosample protocol	Experiment protocol	PE	micrcon	80	2.4				27460031	0.4201	63633	63537
36	HL60		ENCSR000ENU	ENCLB490ZZZ	ENCBS482VCU	AG4193	LN2302	DS11733	DS11809	Hematopoietic	Myeloid	Mesoderm	Cancer	Cancer	Mesoderm	Promyelocyticleukemia	Adult	36Y	F	Cauc		Biosample protocol	Experiment protocol	PE	microcon	60	4.5			2009-08-05	30215480	0.6042	56158	55907
37	HGF		ENCSR000ENS	ENCLB486ZZZ	ENCBS786ANZ	AG4192	LN2304	DS11738	DS11752	Connective		Gum	Primary	Primary	Mesoderm	Gingival Fibroblasts	Adult	45Y	M	Cauc		Biosample protocol	Experiment protocol	PE	minElute	80	5.6			2009-08-05	22293070	0.4847	63915	63851
38	HGF		ENCSR000ENS	ENCLB487ZZZ	ENCBS310AAA	AG4191	LN2307	DS11752	DS11738	Connective		Gum	Primary	Primary	Mesoderm	Gingival Fibroblasts	Adult	45Y	M	Cauc		Biosample protocol	Experiment protocol	PE	minElute	60	9.8			2009-08-05	351870884	0.4918	200730	200524
39	IMR90		ENCSR477RTP	ENCLB611WZP	ENCBS048TNH	AG9160	LN2308	DS11759	DS11764,DS13229,DS13219	Connective		Lung	Lines	Immortalized	Mesoderm	IMR90	Fetal	16W	F			Biosample protocol	Experiment protocol	PE	micrcon	120	12.7			2009-08-06	22909771	0.5125	55818	55761
40	IMR90		ENCSR477RTP	ENCLB675EPB	ENCBS048TNH	AG9159	LN2309	DS11764	DS11759,DS13229,DS13219	Connective		Lung	Lines	Immortalized	Mesoderm	IMR90	Fetal	16W	F			Biosample protocol	Experiment protocol	PE	micrcon	120	12.2			2009-08-06	21864385	0.5125	53031	52991
41	HL60		ENCSR000ENU	ENCLB491ZZZ	ENCBS069ENC	AG4190	LN2328	DS11809	DS11733	Hematopoietic	Myeloid	Mesoderm	Cancer	Cancer	Mesoderm	Promyelocyticleukemia	Adult	36Y	F	Cauc		Biosample protocol	Experiment protocol	PE	micrcon		5.6			2009-08-07	31547522	0.6036	67653	67400
42	H7_hESC_T14		ENCSR000EMY	ENCLB447ZZZ	ENCBS532SEX	AG4189	LN2329	DS11814	DS12147	Cardiovascular	Cardiac Muscle	Heart	Lines	ESC	Mesoderm	H7 embryonic stem differentiation day 14	Embryonic		F			Biosample protocol	Experiment protocol	PE	minElute	120	2.2			2009-08-07	28331633	0.3604	53849	53784
43	fBrain	Neural	ENCSR649KBB	ENCLB217VMW	ENCBS640AFZ	AG9158	LN2346	DS11872	DS11877	Nervous		Brain	Primary	Primary	Ectoderm	Brain	Fetal	122D	M		H22510	Biosample protocol	Experiment protocol	PE	minElute	100	11.8			2009-08-14	198183451	0.6929	249990	249372
44	fBrain		ENCSR649KBB	ENCLB833XAU	ENCBS640AFZ	AG9157	LN2347	DS11877	DS11872	Nervous		Brain	Primary	Primary	Ectoderm	Brain	Fetal	122D			H22510	Biosample protocol	Experiment protocol	PE	minElute	100	9.9			2009-08-14	30730142	0.6929	98852	98656
45	hESCT0	Primitive / embryonic	ENCSR000EMZ	ENCLB449ZZZ	ENCBS293AAA	AG4188	LN2365	DS11909	DS13133	Embryonic		Germ	Lines	ESC	Primitive	H7 embryonic stem	Embryonic		F			Biosample protocol	Experiment protocol	PE	minElute	80	14			2009-08-19	240791918	0.6453	315568	314868
46	NHDF_Neo		ENCSR000EPP	ENCLB565ZZZ	ENCBS347RWF	AG4187	LN2367	DS11918	DS11923	Connective		Skin	Primary	Primary	Mesoderm	Dermal Fibroblasts	Neonatal	neonatal	M	Cauc		Biosample protocol	Experiment protocol	PE	minElute	80	8.2			2009-08-19	30506435	0.6557	83722	83634
47	NHDF_Neo		ENCSR000EPP	ENCLB566ZZZ	ENCBS065ENC	AG4186	LN2368	DS11923	DS11918	Connective		Skin	Primary	Primary	Mesoderm	Dermal Fibroblasts	Neonatal	neonatal	M	Cauc		Biosample protocol	Experiment protocol	PE	minElute	80	4.8			2009-08-19	319917804	0.6965	270916	270537
48	SkMC	Stromal A	ENCSR000EQA	ENCLB587ZZZ	ENCBS335MXB	AG4185	LN2371	DS11939	DS11949	Musculoskeletal	Skeletal Muscle	Muscle	Lines	Immortalized	Mesoderm	Skeletal muscle	Fetal	17W	M	Cauc		Biosample protocol	Experiment protocol	PE	minElute	120	19.9			2009-08-21	32137120	0.7257	97360	97289
49	H7_hESC_T5		ENCSR000EMW	ENCLB444ZZZ	ENCBS430FQD	AG4183	LN2375	DS11953	DS15665	Cardiovascular	Cardiac Muscle	Heart	Lines	ESC	Mesoderm	H7 embryonic stem differentiation day 5	Embryonic		F			Biosample protocol	Experiment protocol	PE	minElute	60	8.7			2009-08-24	27961281	0.3867	61948	61860
50	NHBE_RA		ENCSR000EPN	ENCLB561ZZZ	ENCBS638NGV	AG4182	LN2376	DS11959	DS11969	Epithelial		Lung	Primary	Primary	Endoderm	Normal Human Bronchial Epithelial Cells w/ RA	Adult	38Y	F	Cauc		Biosample protocol	Experiment protocol	PE	minElute	120	10.9			2009-08-25	28214312	0.3478	61290	61225
51	NHBE_RA		ENCSR000EPN	ENCLB562ZZZ	ENCBS562ENC	AG4181	LN2378	DS11969	DS11959	Epithelial		Lung	Primary	Primary	Endoderm	Normal Human Bronchial Epithelial Cells w/ RA	Adult	38Y	F	Cauc		Biosample protocol	Experiment protocol	PE	minElute	120	9.3			2009-08-25	29310510	0.3457	57405	57319
52	PrEC		ENCSR000EPU	ENCLB575ZZZ	ENCBS702FWT	AG4180	LN2417	DS12088	DS12098	Genitourinary		Prostate	Primary	Primary	Endoderm	Human Prostate Epithelial Cells	Adult		M			Biosample protocol	Experiment protocol	PE	minElute	120	6.7			2009-08-27	33484497	0.3156	72479	72405
53	PrEC		ENCSR000EPU	ENCLB576ZZZ	ENCBS398ENC	AG4179	LN2419	DS12098	DS12088	Genitourinary		Prostate	Primary	Primary	Endoderm	Human Prostate Epithelial Cells	Adult		M			Biosample protocol	Experiment protocol	PE	minElute	120	4.4			2009-08-27	32059642	0.3318	73789	73727
54	H7_hESC_T14		ENCSR000EMY	ENCLB448ZZZ	ENCBS294AAA	AG4178	LN2425	DS12147	DS11814	Cardiovascular	Cardiac Muscle	Heart	Lines	ESC	Mesoderm	H7 embryonic stem differentiation day 14	Embryonic		F			Biosample protocol	Experiment protocol	PE	minElute	120	10.3			2009-09-02	26153486	0.3755	52350	52293
55	AG04450		ENCSR000ELY	ENCLB404ZZZ	ENCBS485QDY	AG4177	LN2478	DS12255	DS12270	Connective		Lung	Primary	Primary	Mesoderm	Lung fibroblast	Fetal	12W	M			Biosample protocol	Experiment protocol	PE	minElute	100	11.8			2009-09-04	28491658	0.4289	66982	66924
56	AG04450		ENCSR000ELY	ENCLB405ZZZ	ENCBS004ENC	AG4176	LN2481	DS12270	DS12255	Connective		Lung	Primary	Primary	Mesoderm	Lung fibroblast	Fetal	12W	M			Biosample protocol	Experiment protocol	PE	minElute	120	6			2009-09-04	22261304	0.4744	60773	60717
57	CD34	Myeloid / erythroid	ENCSR191EII	ENCLB262HGC	ENCBS912YBQ	AG9156	LN2482	DS12274	DS14197	Hematopoietic	Progenitor	Blood	Primary	Stem Cells	Mesoderm	CD 34+ Hematopoietic progenitor cells	Adult	23Y	F	Cauc	RO 01535	Biosample protocol	Experiment protocol	PE	minElute	80	18.5				211609789	0.6518	196198	195691
58	AG09319		ENCSR000EMA	ENCLB408ZZZ	ENCBS037NAC	AG4175	LN2485	DS12286	DS12291	Connective		Gum	Primary	Primary	Mesoderm	Gum fibroblast	Adult	24Y	F	Cauc		Biosample protocol	Experiment protocol	PE	minElute	120	7.3			2009-09-05	21157068	0.5919	66584	66507
59	AG09319		ENCSR000EMA	ENCLB409ZZZ	ENCBS443ENC	AG4174	LN2486	DS12291	DS12286	Connective		Gum	Primary	Primary	Mesoderm	Gum fibroblast	Adult	24Y	F	Cauc		Biosample protocol	Experiment protocol	PE	minElute	120	8			2009-09-05	19072935	0.6394	61805	61746
60	AG04449		ENCSR000ELX	ENCLB402ZZZ	ENCBS003ENC	AG4173	LN2488	DS12319	DS12329	Connective		Skin	Primary	Primary	Mesoderm	Thigh skin fibroblast	Fetal	12W	M			Biosample protocol	Experiment protocol	PE	minElute	160	3.7			2009-09-09	22242548	0.4801	58238	58183
61	AG04449		ENCSR000ELX	ENCLB403ZZZ	ENCBS667XPG	AG4172	LN2489	DS12329	DS12319	Connective		Skin	Primary	Primary	Mesoderm	Thigh skin fibroblast	Fetal	12W	M			Biosample protocol	Experiment protocol	PE	minElute	160	3.4			2009-09-09	24531410	0.4195	56684	56629
62	CD34		ENCSR122VUW	ENCLB064DTW	ENCBS238NAP	AG9155	LN2491	DS12336	DS12339	Hematopoietic	Progenitor	Blood	Primary	Stem Cells	Mesoderm	CD 34+ Hematopoietic progenitor cells	Adult					Biosample protocol	Experiment protocol	PE	minElute	80	8.6				29320853	0.4263	57354	57265
63	CD34		ENCSR122VUW	ENCLB734ZTZ	ENCBS238NAP	AG9154	LN2492	DS12339	DS12336	Hematopoietic	Progenitor	Blood	Primary	Stem Cells	Mesoderm	CD 34+ Hematopoietic progenitor cells	Adult	27Y	F	Hisp	RO 01536	Biosample protocol	Experiment protocol	PE	minElute	80	4.8				21743805	0.4263	55119	55037
64	AG09309	Stromal A	ENCSR000ELZ	ENCLB406ZZZ	ENCBS005ENC	AG4171	LN2494	DS12352	DS12357	Connective		Skin	Primary	Primary	Mesoderm	Toe skin fibroblast	Adult	21Y	F	Cauc		Biosample protocol	Experiment protocol	PE	minElute	160	18.5			2009-09-14	25621204	0.6785	84836	84756
65	AG09309	Stromal A	ENCSR000ELZ	ENCLB407ZZZ	ENCBS035TPY	AG4170	LN2495	DS12357	DS12352	Connective		Skin	Primary	Primary	Mesoderm	Toe skin fibroblast	Adult	21Y	F	Cauc		Biosample protocol	Experiment protocol	PE	minElute	160	11.6			2009-09-14	26161546	0.5314	77850	77785
66	AG10803	Stromal B	ENCSR000EMB	ENCLB410ZZZ	ENCBS287ITL	AG4169	LN2497	DS12374	DS12384	Connective		Skin	Primary	Primary	Mesoderm	Abdominal skin Fibroblast	Adult	22Y	M	Cauc		Biosample protocol	Experiment protocol	PE	minElute	160	6.1			2009-09-15	221146364	0.7105	240157	239892
67	AG10803		ENCSR000EMB	ENCLB411ZZZ	ENCBS408ENC	AG4168	LN2500	DS12384	DS12374	Connective		Skin	Primary	Primary	Mesoderm	Abdominal skin Fibroblast	Adult	22Y	M	Cauc		Biosample protocol	Experiment protocol	PE	minElute	160	6			2009-09-15	25074232	0.7192	80752	80697
68	CMK		ENCSR000EMN	ENCLB429ZZZ	ENCBS071ENC	AG4167	LN2503	DS12393		Hematopoietic	Myeloid	Blood	Cancer	Cancer	Mesoderm	Acute Megakaryocytic Leukemia	Neonatal	10M	M			Biosample protocol	Experiment protocol	PE	minElute		8.9			2009-09-18	21107815	0.5671	52906	52804
69	GM12864		ENCSR000EMR	ENCLB437ZZZ	ENCBS208AAA	AG4166	LN2527	DS12431		Hematopoietic	Lymphoid	Blood	Lines	Immortalized	Mesoderm	Lymphoblastoid	Adult	U	M	Cauc		Biosample protocol	Experiment protocol	PE	minElute	120	19.2			2009-09-24	106375888	0.861	47605	47510
70	GM12865	Lymphoid	ENCSR000EMS	ENCLB438ZZZ	ENCBS209AAA	AG4165	LN2528	DS12436	DS12442	Hematopoietic	Lymphoid	Blood	Lines	Immortalized	Mesoderm	Lymphoblastoid	Adult	U	F			Biosample protocol	Experiment protocol	PE	minElute	120	5.6			2009-09-25	260976809	0.6275	161411	161079
71	GM12865		ENCSR000EMS	ENCLB439ZZZ	ENCBS073XSW	AG4164	LN2529	DS12442	DS12436	Hematopoietic	Lymphoid	Blood	Lines	Immortalized	Mesoderm	Lymphoblastoid	Adult	U	F	Cauc		Biosample protocol	Experiment protocol	PE	minElute	160	20.7			2009-09-25	32098397	0.5331	73701	73550
72	HCPEpiC	Stromal B	ENCSR000ENL	ENCLB472ZZZ	ENCBS395ENC	AG4163	LN2530	DS12447	DS12457	Epithelial		Eye	Primary	Primary	Ectoderm	Choroid Plexus Epithelial	Fetal	2nd Trimester	U			Biosample protocol	Experiment protocol	PE	minElute	160	21.8			2009-09-28	236381913	0.7429	282544	282010
73	HCPEpiC		ENCSR000ENL	ENCLB473ZZZ	ENCBS559KYO	AG4162	LN2532	DS12457	DS12447	Epithelial		Eye	Primary	Primary	Ectoderm	Choroid Plexus Epithelial	Fetal	2nd Trimester	U			Biosample protocol	Experiment protocol	PE	minElute	160	19.9			2009-09-28	26688077	0.6105	82174	82087
74	HNPCEpiC		ENCSR000EOF	ENCLB512ZZZ	ENCBS406ENC	AG4161	LN2534	DS12467	DS12471	Epithelial		Eye	Primary	Primary	Ectoderm	Non-Pigment Ciliary Epithelial	Fetal	2nd Trimester	U			Biosample protocol	Experiment protocol	PE	minElute	160	14.5			2009-09-29	20604925	0.6252	70220	70156
75	HNPCEpiC		ENCSR000EOF	ENCLB513ZZZ	ENCBS024ZMP	AG4160	LN2535	DS12471	DS12467	Epithelial		Eye	Primary	Primary	Ectoderm	Non-Pigment Ciliary Epithelial	Fetal	2nd Trimester	U			Biosample protocol	Experiment protocol	PE	minElute	120	9			2009-09-29	21767577	0.4745	59742	59685
76	HCF		ENCSR000ENH	ENCLB464ZZZ	ENCBS756HNZ	AG4159	LN2540	DS12491	DS12501	Connective		Heart	Primary	Primary	Mesoderm	Cardiac Fibroblasts	Fetal	2nd Trimester	U			Biosample protocol	Experiment protocol	PE	minElute	120	14.3			2009-09-30	27918106	0.6044	80246	80178
77	HCF		ENCSR000ENH	ENCLB465ZZZ	ENCBS392ENC	AG4158	LN2542	DS12501	DS12491	Connective		Heart	Primary	Primary	Mesoderm	Cardiac Fibroblasts	Fetal	2nd Trimester	U			Biosample protocol	Experiment protocol	PE	minElute	120	8.1			2009-09-30	226214230	0.7059	230140	229827
78	fAdrenal		ENCSR060BFU	ENCLB551YSO	ENCBS520GRO	AG9153	LN2552	DS12528		Endocrine		Adrenal Gland	Primary	Primary	Mesoderm	Adrenal	Fetal	96D	M		H22662	Biosample protocol	Experiment protocol	PE	minElute	120	5.8			2009-10-02	32241832	0.4824	71683	71539
79	fHeart	Cardiac	ENCSR911LTI	ENCLB224ZRL	ENCBS114OIZ	AG9152	LN2553	DS12531		Cardiovascular	Cardiac	Heart	Primary	Primary	Mesoderm	Heart	Fetal	96D	U		H22662	Biosample protocol	Experiment protocol	PE	minElute	120	9.6			2009-10-02	256314170	0.5697	224464	223788
80	NB4		ENCSR000EPL	ENCLB557ZZZ	ENCBS032SIL	AG4157	LN2555	DS12538	DS12543	Hematopoietic	Myeloid	Blood	Cancer	Cancer	Mesoderm	Acute Promyelocytic Leukemia cell line	Adult	23Y	F			Biosample protocol	Experiment protocol	PE	minElute	80	56.2			2009-10-02	30046931	0.5005	69673	69561
81	NB4	Myeloid / erythroid	ENCSR000EPL	ENCLB558ZZZ	ENCBS390ENC	AG4156	LN2556	DS12543	DS12538	Hematopoietic	Myeloid	Blood	Cancer	Cancer	Mesoderm	Acute Promyelocytic Leukemia cell line	Adult	23Y	F			Biosample protocol	Experiment protocol	PE	minElute	80	35			2009-10-02	292684299	0.6075	181410	181121
82	HRPEpiC		ENCSR000EON	ENCLB527ZZZ	ENCBS893GDP	AG4155	LN2559	DS12568	DS12583	Epithelial		Eye	Primary	Primary	Ectoderm	Retinal Pigment Epithelial	Fetal	2nd Trimester	U			Biosample protocol	Experiment protocol	PE	minElute	120	23			2009-10-05	24923998	0.6185	77537	77463
